time_min,temp_C,OD600,strain,well,media,pos_selection,neg_selection,operator,repressor,volume_marker,date,run_number
1024.5166666666667,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1049.5166666666667,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1074.5166666666667,37.0,0.03,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1099.5166666666667,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1124.5166666666667,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1149.5166666666667,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1174.5166666666667,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1199.5166666666667,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1224.5166666666667,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1249.5166666666667,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1274.5166666666667,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1299.5166666666667,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1324.5166666666667,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1349.5166666666667,37.0,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1374.5166666666667,37.1,0.031,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1399.5166666666667,37.0,0.032,blank,B03,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
24.516666666666666,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
49.516666666666666,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
74.51666666666667,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
99.51666666666667,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
124.51666666666667,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
149.51666666666668,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
174.51666666666668,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
199.51666666666668,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
224.51666666666668,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
249.51666666666668,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
274.51666666666665,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
299.51666666666665,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
324.51666666666665,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
349.51666666666665,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
374.51666666666665,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
399.51666666666665,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
424.51666666666665,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
449.51666666666665,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
474.51666666666665,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
499.51666666666665,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
524.5166666666667,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
549.5166666666667,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
574.5166666666667,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
599.5166666666667,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
624.5166666666667,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
649.5166666666667,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
674.5166666666667,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
699.5166666666667,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
724.5166666666667,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
749.5166666666667,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
774.5166666666667,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
799.5166666666667,37.0,0.03,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
824.5166666666667,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
849.5166666666667,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
874.5166666666667,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
899.5166666666667,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
924.5166666666667,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
949.5166666666667,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
974.5166666666667,37.0,0.03,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
999.5166666666667,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1024.5166666666667,37.1,0.03,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1049.5166666666667,37.0,0.03,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1074.5166666666667,37.0,0.03,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1099.5166666666667,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1124.5166666666667,37.1,0.03,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1149.5166666666667,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1174.5166666666667,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1199.5166666666667,37.1,0.03,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1224.5166666666667,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1249.5166666666667,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1274.5166666666667,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1299.5166666666667,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1324.5166666666667,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1349.5166666666667,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1374.5166666666667,37.1,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1399.5166666666667,37.0,0.031,blank,B04,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
24.516666666666666,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
49.516666666666666,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
74.51666666666667,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
99.51666666666667,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
124.51666666666667,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
149.51666666666668,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
174.51666666666668,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
199.51666666666668,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
224.51666666666668,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
249.51666666666668,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
274.51666666666665,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
299.51666666666665,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
324.51666666666665,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
349.51666666666665,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
374.51666666666665,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
399.51666666666665,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
424.51666666666665,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
449.51666666666665,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
474.51666666666665,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
499.51666666666665,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
524.5166666666667,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
549.5166666666667,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
574.5166666666667,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
599.5166666666667,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
624.5166666666667,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
649.5166666666667,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
674.5166666666667,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
699.5166666666667,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
724.5166666666667,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
749.5166666666667,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
774.5166666666667,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
799.5166666666667,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
824.5166666666667,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
849.5166666666667,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
874.5166666666667,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
899.5166666666667,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
924.5166666666667,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
949.5166666666667,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
974.5166666666667,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
999.5166666666667,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1024.5166666666667,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1049.5166666666667,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1074.5166666666667,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1099.5166666666667,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1124.5166666666667,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1149.5166666666667,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1174.5166666666667,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1199.5166666666667,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1224.5166666666667,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1249.5166666666667,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1274.5166666666667,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1299.5166666666667,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1324.5166666666667,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1349.5166666666667,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1374.5166666666667,37.1,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
1399.5166666666667,37.0,0.031,blank,B05,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
24.516666666666666,37.0,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
49.516666666666666,37.0,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
74.51666666666667,37.0,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
99.51666666666667,37.1,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
124.51666666666667,37.0,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
149.51666666666668,37.1,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
174.51666666666668,37.0,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
199.51666666666668,37.0,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
224.51666666666668,37.0,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
249.51666666666668,37.0,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
274.51666666666665,37.1,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
299.51666666666665,37.1,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
324.51666666666665,37.1,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
349.51666666666665,37.0,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
374.51666666666665,37.1,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
399.51666666666665,37.0,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
424.51666666666665,37.1,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
449.51666666666665,37.0,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
474.51666666666665,37.0,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
499.51666666666665,37.1,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
524.5166666666667,37.1,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
549.5166666666667,37.0,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
574.5166666666667,37.1,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
599.5166666666667,37.1,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
624.5166666666667,37.1,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
649.5166666666667,37.0,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
674.5166666666667,37.0,0.031,blank,B06,M9_0.5%_glucose,1_ugmL_tetracycline,0_%wv_surcorse,blank,,blank,20200723,1
